,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
117,20220315,603602.SH,通信服务,纵横通信,13.32,-10.0,271612032.0,81769215.0,2715266975.04,2715266975.04,9.68,13456303.0,,140548,4,,1.0,D
118,20220315,603619.SH,采掘行业,中曼石油,13.14,-10.0,301220400.0,8865557.0,5256001314.0,5256001261.44,5.58,5150420.0,,144751,0,,1.0,D
119,20220315,603636.SH,互联网服,南威软件,13.48,10.04,304657376.0,,7963897431.44,7963897512.32,3.83,254265205.0,92503,92503,0,3/3,3.0,U
120,20220315,603717.SH,工程建设,天域生态,9.11,-9.98,49432682.0,676759125.0,2643232246.4,2643232246.4,1.87,112504336.0,,92505,0,,2.0,D
121,20220315,603718.SH,农药兽药,海利生物,13.88,9.98,342365616.0,,8938720000.0,8938720000.0,3.96,3600333.0,133653,150000,6,1/1,1.0,U
122,20220315,603801.SH,装修建材,志邦家居,23.82,-10.01,116293165.0,8844365.0,7349171689.56,7439194472.64,1.54,1181472.0,,144006,2,,1.0,D
123,20220315,603828.SH,装修装饰,柯利达,4.33,9.9,187711724.0,,2580418576.25,2643292492.8,7.51,114321131.0,105529,105529,0,1/1,1.0,U
124,20220315,603969.SH,通用设备,银龙股份,5.03,-10.02,603626592.0,3824394299.0,4230230000.0,4230230000.0,14.08,14857397.0,,143131,3,,2.0,D
125,20220315,605016.SH,食品饮料,百龙创园,28.58,3.7,160835137.0,,908844000.0,3623944000.0,17.16,,104511,,1,0/0,,Z
126,20220315,605116.SH,化学制药,奥锐特,28.38,10.0,645176512.0,,2194659456.0,11380380000.0,31.97,31977306.0,141641,141641,0,2/2,2.0,U
127,20220315,605196.SH,电网设备,华通线缆,10.17,-10.0,132824705.0,13604408.0,772920000.0,5154380716.32,16.78,8721792.0,,143248,0,,1.0,D
128,20220315,605507.SH,化学制药,国邦医药,30.81,5.41,663836352.0,,2582602035.0,17217352158.24,25.48,,130526,,2,0/0,,Z
