ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
551900.SH,招商中证AAA科技创新公司债ETF,招商中证AAA科技创新公司债ETF,招商中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250710,20250717,L,SH,招商基金,兴业银行股份有限公司,0.15,纯境内
560000.SH,浦银安盛中证智能电动汽车ETF,智慧电车ETF,浦银安盛中证智能电动汽车交易型开放式指数证券投资基金,H11052.CSI,中证智能电动汽车指数,20210917,20210930,L,SH,浦银安盛基金,招商银行股份有限公司,0.5,纯境内
560010.SH,广发中证1000ETF,中证1000ETF指数,广发中证1000交易型开放式指数证券投资基金,000852.SH,中证1000指数,20220728,20220804,L,SH,广发基金,中国工商银行股份有限公司,0.15,纯境内
560020.SH,汇添富中证红利ETF,红利ETF汇添富,汇添富中证红利交易型开放式指数证券投资基金,000922.CSI,中证红利指数,20230926,20231016,L,SH,汇添富基金,招商银行股份有限公司,0.5,纯境内
560030.SH,汇添富中证800价值ETF,800价值ETF,汇添富中证800价值交易型开放式指数证券投资基金,H30356.CSI,中证800价值指数,20230620,20230710,L,SH,汇添富基金,广发证券股份有限公司,0.5,纯境内
560050.SH,汇添富MSCI中国A50互联互通ETF,MSCI中国A50ETF,汇添富MSCI中国A50互联互通交易型开放式指数证券投资基金,746059L.MI,MSCI中国A50互联互通(人民币)指数(本币),20211029,20211108,L,SH,汇添富基金,交通银行股份有限公司,0.5,纯境内
560060.SH,汇添富中证上海环交所碳中和ETF,碳中和ETF,汇添富中证上海环交所碳中和交易型开放式指数证券投资基金,931755.CSI,中证上海环交所碳中和指数,20220713,20220721,L,SH,汇添富基金,招商银行股份有限公司,0.5,纯境内
560070.SH,汇添富中证国新央企股东回报ETF,央企红利ETF基金,汇添富中证国新央企股东回报交易型开放式指数证券投资基金,932039.CSI,中证国新央企股东回报指数,20230524,20230606,L,SH,汇添富基金,中国建设银行股份有限公司,0.5,纯境内
560080.SH,汇添富中证中药ETF,中药ETF,汇添富中证中药交易型开放式指数证券投资基金,930641.CSI,中证中药指数,20220926,20221017,L,SH,汇添富基金,中国建设银行股份有限公司,0.5,纯境内
560090.SH,汇添富中证全指证券公司ETF,证券ETF龙头,汇添富中证全指证券公司交易型开放式指数证券投资基金,399975.SZ,中证全指证券公司指数,20230227,20230315,L,SH,汇添富基金,中信建投证券股份有限公司,0.5,纯境内
560100.SH,南方中证500增强策略ETF,中证500增强ETF,南方中证500增强策略交易型开放式指数证券投资基金,000905.SH,中证小盘500指数,20220126,20220216,L,SH,南方基金,中国工商银行股份有限公司,0.5,纯境内
560110.SH,汇添富中证1000ETF,中证1000ETF基金,汇添富中证1000交易型开放式指数证券投资基金,000852.SH,中证1000指数,20220729,20220808,L,SH,汇添富基金,中信银行股份有限公司,0.15,纯境内
560120.SH,华夏中证500自由现金流ETF,现金流500ETF,华夏中证500自由现金流交易型开放式指数证券投资基金,932367.CSI,中证500自由现金流指数,20250723,20250805,L,SH,华夏基金,交通银行股份有限公司,0.5,纯境内
560150.SH,红利TK,红利低波ETF泰康,泰康中证红利低波动交易型开放式指数证券投资基金,H30269.CSI,中证红利低波动指数,20240315,20240408,L,SH,泰康基金,招商银行股份有限公司,0.4,纯境内
