ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
920857.BJ,泓禧科技,20251127,35.45,35.52,34.11,34.81,35.59,-2.1916,11414.32,39754.353,1.5423,7400.7152,重庆,元器件,北交所,257618.8961,N
920857.BJ,泓禧科技,20251126,32.12,37.17,32.1,35.59,32.12,10.8032,25783.71,89589.226,3.4839,7400.7152,重庆,元器件,北交所,263391.454,N
920857.BJ,泓禧科技,20251125,32.77,33.8,32.08,32.12,32.89,-2.3411,8766.94,28957.751,1.1846,7400.7152,重庆,元器件,北交所,237710.9722,N
920857.BJ,泓禧科技,20251124,32.88,33.59,32.26,32.89,33.0,-0.3333,9280.98,30562.797,1.2541,7400.7152,重庆,元器件,北交所,243409.5229,N
920857.BJ,泓禧科技,20251121,32.28,33.48,31.1,33.0,32.99,0.0303,10875.2,35191.034,1.4695,7400.7152,重庆,元器件,北交所,244223.6016,N
920857.BJ,泓禧科技,20251120,34.39,34.4,32.74,32.99,34.49,-4.3491,9032.4,30073.863,1.2205,7400.7152,重庆,元器件,北交所,244149.5944,N
920857.BJ,泓禧科技,20251119,33.63,34.5,32.19,34.49,33.91,1.7104,19289.81,64378.057,2.6065,7400.7152,重庆,元器件,北交所,255250.6672,N
920857.BJ,泓禧科技,20251118,34.3,34.63,32.27,33.91,34.3,-1.137,14673.34,49400.973,1.9827,7400.7152,重庆,元器件,北交所,250958.2524,N
920857.BJ,泓禧科技,20251117,34.41,34.69,33.66,34.3,34.88,-1.6628,10227.47,34875.756,1.382,7400.7152,重庆,元器件,北交所,253844.5314,N
920857.BJ,泓禧科技,20251114,35.86,35.89,33.5,34.88,36.4,-4.1758,24000.18,82545.511,3.243,7400.7152,重庆,元器件,北交所,258136.9462,N
920857.BJ,泓禧科技,20251113,34.47,36.87,34.12,36.4,35.1,3.7037,24819.74,88436.165,3.3537,7400.7152,重庆,元器件,北交所,269386.0333,N
920857.BJ,泓禧科技,20251112,33.83,39.98,33.83,35.1,33.98,3.2961,28708.37,106069.405,3.8791,7400.7152,重庆,元器件,北交所,259765.1035,N
920857.BJ,泓禧科技,20251111,34.0,35.98,33.39,33.98,34.5,-1.5072,18613.76,64643.11,2.5151,7400.7152,重庆,元器件,北交所,251476.3025,N
920857.BJ,泓禧科技,20251110,35.26,35.26,33.0,34.5,35.9,-3.8997,27195.01,92650.23,3.6746,7400.7152,重庆,元器件,北交所,255324.6744,N
920857.BJ,泓禧科技,20251107,30.09,38.0,29.7,35.9,30.29,18.521,51919.58,173124.468,7.0155,7400.7152,重庆,元器件,北交所,265685.6757,N
920857.BJ,泓禧科技,20251106,31.0,31.68,30.05,30.29,30.94,-2.1008,14650.84,45091.6,1.9797,7400.7152,重庆,元器件,北交所,224167.6634,N
920857.BJ,泓禧科技,20251105,29.5,31.44,29.43,30.94,30.27,2.2134,17122.73,51948.5,2.3137,7400.7152,重庆,元器件,北交所,228978.1283,N
920857.BJ,泓禧科技,20251104,30.5,31.6,30.04,30.27,30.65,-1.2398,15254.83,46827.083,2.0613,7400.7152,重庆,元器件,北交所,224019.6491,N
920857.BJ,泓禧科技,20251103,30.15,30.66,29.1,30.65,30.15,1.6584,15510.4,46172.571,2.0958,7400.7152,重庆,元器件,北交所,226831.9209,N
920857.BJ,泓禧科技,20251031,31.0,31.28,30.0,30.15,31.16,-3.2413,22912.21,70105.338,3.0959,7400.7152,重庆,元器件,北交所,223131.5633,N
920857.BJ,泓禧科技,20251030,29.0,31.98,28.5,31.16,30.42,2.4326,37798.47,115043.325,5.1074,7400.7152,重庆,元器件,北交所,230606.2856,N
920857.BJ,泓禧科技,20251029,28.0,30.45,27.31,30.42,27.95,8.8372,32805.64,95629.143,4.4328,7400.7152,重庆,元器件,北交所,225129.7564,N
920857.BJ,泓禧科技,20251028,28.5,30.28,27.61,27.95,28.55,-2.1016,36667.16,106164.943,4.9545,7400.7152,重庆,元器件,北交所,206849.9898,N
920857.BJ,泓禧科技,20251027,28.5,29.0,27.91,28.55,28.23,1.1335,17784.93,50424.253,2.4031,7400.7152,重庆,元器件,北交所,211290.419,N
920857.BJ,泓禧科技,20251024,28.68,29.29,27.95,28.23,28.79,-1.9451,22701.31,64546.061,3.0674,7400.7152,重庆,元器件,北交所,208922.1901,N
920857.BJ,泓禧科技,20251023,27.09,28.8,26.0,28.79,27.08,6.3146,24168.91,66073.439,3.2658,7400.7152,重庆,元器件,北交所,213066.5906,N
920857.BJ,泓禧科技,20251022,27.29,27.78,26.3,27.08,27.46,-1.3838,22191.57,59863.802,2.9986,7400.7152,重庆,元器件,北交所,200411.3676,N
920857.BJ,泓禧科技,20251021,25.5,27.5,25.15,27.46,25.44,7.9403,35579.73,94863.908,4.8076,7400.7152,重庆,元器件,北交所,203223.6394,N
920857.BJ,泓禧科技,20251020,26.65,27.8,25.04,25.44,26.7,-4.7191,29365.45,76416.012,3.9679,7400.7152,重庆,元器件,北交所,188274.1947,N
920857.BJ,泓禧科技,20251017,26.52,29.1,26.0,26.7,26.7,0.0,32530.23,90068.252,4.3956,7400.7152,重庆,元器件,北交所,197599.0958,N
920857.BJ,泓禧科技,20251016,26.58,27.26,26.0,26.7,27.0,-1.1111,18884.41,49968.486,2.5517,7400.7152,重庆,元器件,北交所,197599.0958,N
920857.BJ,泓禧科技,20251015,26.85,27.5,26.0,27.0,26.76,0.8969,18724.9,50167.613,2.5301,7400.7152,重庆,元器件,北交所,199819.3104,N
920857.BJ,泓禧科技,20251014,26.03,28.3,25.63,26.76,26.15,2.3327,29745.34,80110.271,4.0193,7400.7152,重庆,元器件,北交所,198043.1388,N
920857.BJ,泓禧科技,20251013,24.55,26.17,23.1,26.15,26.12,0.1149,26956.44,65882.417,3.6424,7400.7152,重庆,元器件,北交所,193528.7025,N
920857.BJ,泓禧科技,20251010,27.88,29.98,26.01,26.12,26.1,0.0766,36817.32,102608.746,4.9748,7400.7152,重庆,元器件,北交所,193306.681,N
920857.BJ,泓禧科技,20251009,25.47,26.65,24.62,26.1,25.76,1.3199,22212.33,56487.099,3.0014,7400.7152,重庆,元器件,北交所,193158.6667,N
920857.BJ,泓禧科技,20250930,26.3,26.47,25.56,25.76,26.41,-2.4612,25315.91,65622.379,3.4207,7400.7152,重庆,元器件,北交所,190642.4236,N
